id,merged_title,merged_course_id,category,category_id,required_course1,required_course2,required_course3
1,“案”说生活法律,course-v1:NBCCx+NBCC000301+_SP,社科·法律,19,0,0,0
2,“搏”学补考,course-v1:zrx+zrx001+20170207,社科·法律,19,3,0,0
3,“搏”学模拟考试,course-v1:bjzrxrz+Exam01+2016_T2,社科·法律,19,0,0,0
4,“计算机网络管理”教研室,course-v1:ZK+02379+JYS,计算机,22,0,0,0
5,“小说中国”: 文学与批评理论导读(通识教育),course-v1:CQU+TSJYHG00028+2017_T1,文学,14,0,0,0
6,“影像中国”: 电影与批评理论导读(通识教育),course-v1:CQU+TSJYHG00029+2017_T1,文学,14,0,0,0
7,《“资治通鉴”导读》(通识教育),course-v1:CQU+TSJYHG00016+2017_T1,文学,14,0,0,0
8,《<论语>导读》(通识教育),course-v1:CQU+TSJYHG00015+2017_T1,文学,14,0,0,0
9,《道德经》的智慧启示,course-v1:OUC+14001060+sp,社科·法律,19,0,0,0
10,《红楼梦》的空间艺术,course-v1:JNUX+jnu2017001X+2017_T1,文学,14,0,0,0
11,《论语》的智慧,course-v1:XJTUMOOC+GNED101310+2016_T1,文学,14,9,10,12
12,《论语》人生课堂,course-v1:HLJUX+2017032101X+sp,文学,14,8,9,10
13,《砌体结构》,course-v1:SCUT+masonry+2016_T1,物理,15,1724,1288,1288
14,《全球通识与跨文化交流》,course-v1:CQU+TSJYHG00005+2017_T1,历史,5,0,0,0
15,《世说新语》导读,course-v1:CQU+TSJYHG00025+2017_T1,文学,14,0,0,0
16,《周易》《周礼》与故宫北京城,course-v1:TsinghuaX+00690242X_p2+sp,文学,14,0,0,0
17,《资治通鉴》导读,TsinghuaX/00612642X/_,文学,14,7,0,0
18,2017第四届全国虚拟仪器大赛赛前培训,course-v1:nix+a001+2016_T2,化学,3,0,0,0
19,2D动画制作,course-v1:YunTech+YunTech001+sp,艺术·设计,21,0,0,0
20,4G Network Essentials,course-v1:IMTx+NET02x+2T2017,计算机,22,0,0,0
21,à la découverte du théatre classique fran?ais – Tome 1,course-v1:SorbonneX+LF001.1x+1T2017,艺术·设计,21,0,0,0
22,à la découverte du théatre classique fran?ais – Tome 2,course-v1:SorbonneX+LF001.2x+1T2017,艺术·设计,21,21,0,0
23,A Resilient Future: Science and Technology for Disaster Risk Reduction,course-v1:EPFLx+Tech4DRR+2016_T3,工程,9,898,1114,898
24,A System View of Communications: From Signals to Packets (Part 3),course-v1:HKUSTx+ELEC1200.3x+2T2017,电子,18,0,0,0
25,Able-Minded - Mental Health and People with Intellectual Disability,course-v1:UQx+ABLE301x+3T2016,医学·健康,4,0,0,0
26,Accelerate Software Delivery Using DevOps,course-v1:Microsoft+DEV217x+3T2016,计算机,22,1053,0,0
27,Accountant in Business,course-v1:ACCA+FAB-F1.x+1T2017,经管·会计,20,0,0,0
28,Accounting and Finance,course-v1:IIMBx+AC104x+1T2017,经管·会计,20,0,0,0
29,Accounting Essentials for MBA Success,course-v1:ImperialBusinessX+ICBS001+3T2016,经管·会计,20,0,0,0
30,Accounting for Decision-Making,course-v1:IIMBx+AC103x+1T2017,经管·会计,20,0,0,0
31,Accounting Principles for M&A,course-v1:NYIF+MA1.5x+1T2017,经管·会计,20,0,0,0
32,Adaptive Leadership in Development,course-v1:UQx+LGDM3x+1T2017,经管·会计,20,195,281,172
33,Advanced Biobased Conversion,course-v1:WageningenX+BB04x+3T2017,生命科学,17,0,0,0
34,Advanced Biorefinery,course-v1:WageningenX+BB03x+2T2017,生命科学,17,0,0,0
35,Advanced CSS Concepts,course-v1:Microsoft+DEV218x+3T2016,计算机,22,0,0,0
36,Advanced Leadership for Engineers: Leading Teams Organizations and Networks,course-v1:DelftX+ProLfE101x+2T2017,经管·会计,20,1047,1048,1036
37,Advanced Transport Phenomena,course-v1:DelftX+TP102x+3T2016,物理,15,898,1114,898
